x-axis,1,2,3
second,Volt,Volt,Volt
-980.000E-03,-163.317E-03,+2.492211E+00,-6.396357E+00
-975.000E-03,+0.0E+00,+2.763568E+00,-6.270729E+00
-970.000E-03,-25.126E-03,+2.703266E+00,-6.622488E+00
-965.000E-03,+0.0E+00,+2.703266E+00,-6.270729E+00
-960.000E-03,-25.126E-03,+2.668090E+00,-6.245603E+00
-955.000E-03,-163.317E-03,+2.703266E+00,-6.358668E+00
-950.000E-03,-201.005E-03,+2.703266E+00,-6.358668E+00
-945.000E-03,+0.0E+00,+2.703266E+00,-6.660176E+00
-940.000E-03,-175.879E-03,+2.492211E+00,-6.622488E+00
-935.000E-03,-201.005E-03,+2.713317E+00,-6.672739E+00
-930.000E-03,-25.126E-03,+2.492211E+00,-6.295854E+00
-925.000E-03,-201.005E-03,+2.713317E+00,-5.793342E+00
-920.000E-03,-175.879E-03,+2.421859E+00,-6.320980E+00
-915.000E-03,-201.005E-03,+2.572613E+00,-5.956658E+00
-910.000E-03,-201.005E-03,+2.703266E+00,-6.798367E+00
-905.000E-03,-25.126E-03,+2.658040E+00,-6.069724E+00
-900.000E-03,-163.317E-03,+2.703266E+00,-6.446608E+00
-895.000E-03,-201.005E-03,+2.713317E+00,-6.748116E+00
-890.000E-03,+0.0E+00,+2.693216E+00,-5.793342E+00
-885.000E-03,-25.126E-03,+2.703266E+00,-6.521985E+00
-880.000E-03,+0.0E+00,+2.773618E+00,-6.622488E+00
-875.000E-03,-25.126E-03,+2.758543E+00,-6.622488E+00
-870.000E-03,-201.005E-03,+2.492211E+00,-6.484297E+00
-865.000E-03,-163.317E-03,+2.492211E+00,-6.358668E+00
-860.000E-03,-175.879E-03,+2.703266E+00,-6.798367E+00
-855.000E-03,-25.126E-03,+2.773618E+00,-6.521985E+00
-850.000E-03,-175.879E-03,+2.713317E+00,-6.622488E+00
-845.000E-03,-175.879E-03,+2.492211E+00,-6.496859E+00
-840.000E-03,-201.005E-03,+2.753518E+00,-6.069724E+00
-835.000E-03,-201.005E-03,+2.703266E+00,-6.333543E+00
-830.000E-03,-163.317E-03,+2.632915E+00,-6.459171E+00
-825.000E-03,+0.0E+00,+2.668090E+00,-6.760679E+00
-820.000E-03,-201.005E-03,+2.768593E+00,-6.622488E+00
-815.000E-03,-201.005E-03,+2.703266E+00,-6.597362E+00
-810.000E-03,-25.126E-03,+2.773618E+00,-6.547111E+00
-805.000E-03,-25.126E-03,+2.713317E+00,-6.220477E+00
-800.000E-03,+0.0E+00,+2.703266E+00,-6.748116E+00
-795.000E-03,+0.0E+00,+2.572613E+00,-5.969221E+00
-790.000E-03,-201.005E-03,+2.703266E+00,-6.446608E+00
-785.000E-03,-201.005E-03,+2.783668E+00,-6.760679E+00
-780.000E-03,-25.126E-03,+2.703266E+00,-6.798367E+00
-775.000E-03,-201.005E-03,+2.703266E+00,-6.748116E+00
-770.000E-03,-175.879E-03,+2.713317E+00,-6.672739E+00
-765.000E-03,-201.005E-03,+2.713317E+00,-6.748116E+00
-760.000E-03,-201.005E-03,+2.683166E+00,-6.773241E+00
-755.000E-03,-201.005E-03,+2.773618E+00,-6.521985E+00
-750.000E-03,-201.005E-03,+2.768593E+00,-6.245603E+00
-745.000E-03,-25.126E-03,+2.738442E+00,-6.396357E+00
-740.000E-03,-201.005E-03,+2.783668E+00,-6.735553E+00
-735.000E-03,-25.126E-03,+2.673116E+00,-6.773241E+00
-730.000E-03,-175.879E-03,+2.703266E+00,-6.697864E+00
-725.000E-03,-175.879E-03,+2.713317E+00,-6.697864E+00
-720.000E-03,-201.005E-03,+2.703266E+00,-5.793342E+00
-715.000E-03,-175.879E-03,+2.773618E+00,-6.446608E+00
-710.000E-03,+0.0E+00,+2.768593E+00,-6.421483E+00
-705.000E-03,+0.0E+00,+2.768593E+00,-6.094849E+00
-700.000E-03,-201.005E-03,+2.783668E+00,-6.697864E+00
-695.000E-03,-25.126E-03,+2.663065E+00,-6.245603E+00
-690.000E-03,+0.0E+00,+2.642965E+00,-6.722990E+00
-685.000E-03,-201.005E-03,+2.492211E+00,-6.421483E+00
-680.000E-03,-201.005E-03,+2.703266E+00,-5.617462E+00
-675.000E-03,-201.005E-03,+2.703266E+00,-6.622488E+00
-670.000E-03,+0.0E+00,+2.713317E+00,-5.893844E+00
-665.000E-03,-25.126E-03,+2.703266E+00,-6.622488E+00
-660.000E-03,-163.317E-03,+2.642965E+00,-6.760679E+00
-655.000E-03,-201.005E-03,+2.773618E+00,-6.019472E+00
-650.000E-03,-175.879E-03,+2.713317E+00,-6.496859E+00
-645.000E-03,+0.0E+00,+2.693216E+00,-6.471734E+00
-640.000E-03,-25.126E-03,+2.783668E+00,-6.446608E+00
-635.000E-03,-201.005E-03,+2.482161E+00,-6.672739E+00
-630.000E-03,-175.879E-03,+2.502261E+00,-6.547111E+00
-625.000E-03,-163.317E-03,+2.703266E+00,-5.994347E+00
-620.000E-03,-175.879E-03,+2.773618E+00,-6.032035E+00
-615.000E-03,-175.879E-03,+2.773618E+00,-6.220477E+00
-610.000E-03,-201.005E-03,+2.703266E+00,-5.818467E+00
-605.000E-03,-25.126E-03,+2.773618E+00,-6.572236E+00
-600.000E-03,-201.005E-03,+2.673116E+00,-6.722990E+00
-595.000E-03,-201.005E-03,+2.703266E+00,-6.371231E+00
-590.000E-03,-175.879E-03,+2.713317E+00,-5.893844E+00
-585.000E-03,-25.126E-03,+2.492211E+00,-6.220477E+00
-580.000E-03,-201.005E-03,+2.748492E+00,-6.710427E+00
-575.000E-03,+0.0E+00,+2.713317E+00,-5.818467E+00
-570.000E-03,+0.0E+00,+2.703266E+00,-6.722990E+00
-565.000E-03,-201.005E-03,+2.713317E+00,-6.371231E+00
-560.000E-03,-201.005E-03,+2.703266E+00,-6.521985E+00
-555.000E-03,-201.005E-03,+2.703266E+00,-5.843593E+00
-550.000E-03,+0.0E+00,+2.411809E+00,-6.597362E+00
-545.000E-03,-175.879E-03,+2.683166E+00,-5.994347E+00
-540.000E-03,+0.0E+00,+2.703266E+00,-6.258166E+00
-535.000E-03,+0.0E+00,+2.502261E+00,-6.722990E+00
-530.000E-03,-201.005E-03,+2.703266E+00,-6.069724E+00
-525.000E-03,-201.005E-03,+2.783668E+00,-6.220477E+00
-520.000E-03,+0.0E+00,+2.763568E+00,-6.622488E+00
-515.000E-03,+0.0E+00,+2.703266E+00,-5.994347E+00
-510.000E-03,-201.005E-03,+2.783668E+00,-5.743091E+00
-505.000E-03,-25.126E-03,+2.773618E+00,-5.818467E+00
-500.000E-03,-201.005E-03,+2.713317E+00,-6.685302E+00
-495.000E-03,-201.005E-03,+2.773618E+00,-6.434045E+00
-490.000E-03,-25.126E-03,+2.703266E+00,-6.320980E+00
-485.000E-03,-201.005E-03,+2.693216E+00,-6.798367E+00
-480.000E-03,-201.005E-03,+2.673116E+00,-6.773241E+00
-475.000E-03,-201.005E-03,+2.773618E+00,-6.396357E+00
-470.000E-03,-25.126E-03,+2.562563E+00,-6.094849E+00
-465.000E-03,-25.126E-03,+2.753518E+00,-6.446608E+00
-460.000E-03,-12.563E-03,+2.773618E+00,-6.032035E+00
-455.000E-03,-201.005E-03,+2.743467E+00,-6.597362E+00
-450.000E-03,-175.879E-03,+2.713317E+00,-6.597362E+00
-445.000E-03,-201.005E-03,+2.773618E+00,-5.843593E+00
-440.000E-03,-201.005E-03,+2.673116E+00,-6.773241E+00
-435.000E-03,-201.005E-03,+2.562563E+00,-6.069724E+00
-430.000E-03,+0.0E+00,+2.703266E+00,-6.320980E+00
-425.000E-03,-25.126E-03,+2.773618E+00,-5.642588E+00
-420.000E-03,-201.005E-03,+2.632915E+00,-6.722990E+00
-415.000E-03,-12.563E-03,+2.703266E+00,-6.145101E+00
-410.000E-03,+0.0E+00,+2.703266E+00,-6.547111E+00
-405.000E-03,-25.126E-03,+2.703266E+00,-6.220477E+00
-400.000E-03,-201.005E-03,+2.562563E+00,-5.843593E+00
-395.000E-03,-201.005E-03,+2.673116E+00,-5.843593E+00
-390.000E-03,+0.0E+00,+2.783668E+00,-6.346106E+00
-385.000E-03,-25.126E-03,+2.703266E+00,-6.773241E+00
-380.000E-03,-12.563E-03,+2.567588E+00,-6.057161E+00
-375.000E-03,-201.005E-03,+2.703266E+00,-6.032035E+00
-370.000E-03,-201.005E-03,+2.703266E+00,-6.798367E+00
-365.000E-03,-175.879E-03,+2.693216E+00,-6.672739E+00
-360.000E-03,+0.0E+00,+2.421859E+00,-6.421483E+00
-355.000E-03,-25.126E-03,+2.773618E+00,-6.195352E+00
-350.000E-03,-25.126E-03,+2.703266E+00,-6.446608E+00
-345.000E-03,-25.126E-03,+2.763568E+00,-6.094849E+00
-340.000E-03,-25.126E-03,+2.703266E+00,-6.773241E+00
-335.000E-03,-12.563E-03,+2.693216E+00,-5.793342E+00
-330.000E-03,-201.005E-03,+2.783668E+00,-6.597362E+00
-325.000E-03,+0.0E+00,+2.773618E+00,-5.918970E+00
-320.000E-03,-175.879E-03,+2.673116E+00,-5.843593E+00
-315.000E-03,-175.879E-03,+2.703266E+00,-6.798367E+00
-310.000E-03,-25.126E-03,+2.492211E+00,-6.622488E+00
-305.000E-03,-25.126E-03,+2.783668E+00,-6.521985E+00
-300.000E-03,-201.005E-03,+2.773618E+00,-6.408920E+00
-295.000E-03,-201.005E-03,+2.703266E+00,-6.434045E+00
-290.000E-03,-201.005E-03,+2.703266E+00,-5.730528E+00
-285.000E-03,+0.0E+00,+2.487186E+00,-6.547111E+00
-280.000E-03,+0.0E+00,+2.783668E+00,-6.597362E+00
-275.000E-03,-25.126E-03,+2.703266E+00,-6.798367E+00
-270.000E-03,-201.005E-03,+2.703266E+00,-6.094849E+00
-265.000E-03,-25.126E-03,+2.753518E+00,-6.773241E+00
-260.000E-03,-201.005E-03,+2.562563E+00,-6.622488E+00
-255.000E-03,-12.563E-03,+2.557538E+00,-6.547111E+00
-250.000E-03,+0.0E+00,+2.708291E+00,-6.547111E+00
-245.000E-03,-201.005E-03,+2.497236E+00,-6.434045E+00
-240.000E-03,-201.005E-03,+2.693216E+00,-6.647613E+00
-235.000E-03,-201.005E-03,+2.703266E+00,-6.421483E+00
-230.000E-03,-25.126E-03,+2.783668E+00,-6.220477E+00
-225.000E-03,-175.879E-03,+2.502261E+00,-6.396357E+00
-220.000E-03,+0.0E+00,+2.773618E+00,-6.748116E+00
-215.000E-03,-175.879E-03,+2.497236E+00,-6.521985E+00
-210.000E-03,+0.0E+00,+2.497236E+00,-6.233040E+00
-205.000E-03,-12.563E-03,+2.703266E+00,-6.597362E+00
-200.000E-03,-175.879E-03,+2.713317E+00,-6.195352E+00
-195.000E-03,-175.879E-03,+2.713317E+00,-5.994347E+00
-190.000E-03,-201.005E-03,+2.713317E+00,-6.396357E+00
-185.000E-03,-25.126E-03,+2.632915E+00,-6.622488E+00
-180.000E-03,+0.0E+00,+2.703266E+00,-6.748116E+00
-175.000E-03,-175.879E-03,+2.708291E+00,-6.170226E+00
-170.000E-03,-12.563E-03,+2.773618E+00,-6.082287E+00
-165.000E-03,-201.005E-03,+2.708291E+00,-6.672739E+00
-160.000E-03,-201.005E-03,+2.703266E+00,-6.207915E+00
-155.000E-03,-201.005E-03,+2.703266E+00,-6.722990E+00
-150.000E-03,-201.005E-03,+2.703266E+00,-5.944096E+00
-145.000E-03,-175.879E-03,+2.703266E+00,-5.717965E+00
-140.000E-03,-201.005E-03,+2.673116E+00,-6.697864E+00
-135.000E-03,+0.0E+00,+2.703266E+00,-5.705402E+00
-130.000E-03,-201.005E-03,+2.703266E+00,-6.233040E+00
-125.000E-03,+0.0E+00,+2.703266E+00,-6.597362E+00
-120.000E-03,+0.0E+00,+2.703266E+00,-6.798367E+00
-115.000E-03,-25.126E-03,+2.773618E+00,-6.019472E+00
-110.000E-03,-25.126E-03,+2.773618E+00,-6.019472E+00
